NAME,AREA
Alaska,663267.26
Texas,268580.82
California,163695.57
Montana,147042.40
New Mexico,121589.48
Arizona,113998.30
Nevada,110560.71
Colorado,104093.57
Oregon,98380.64
Wyoming,97813.56
Michigan,96716.11
Minnesota,86938.87
Utah,84898.83
Idaho,83570.08
Kansas,82276.84
Nebraska,77353.73
South Dakota,77116.49
Washington,71299.64
North Dakota,70699.79
Oklahoma,69898.19
Missouri,69704.31
Florida,65754.59
Wisconsin,65497.82
Georgia,59424.77
Illinois,57914.38
Iowa,56271.55
New York,54556.00
North Carolina,53818.51
Arkansas,53178.62
Alabama,52419.02
Louisiana,51839.70
Mississippi,48430.19
Pennsylvania,46055.24
Ohio,44824.90
Virginia,42774.20
Tennessee,42143.27
Kentucky,40409.02
Indiana,36417.73
Maine,35384.65
South Carolina,32020.20
West Virginia,24229.76
Maryland,12406.68
Hawaii,10930.98
Massachusetts,10554.57
Vermont,9614.26
New Hampshire,9349.94
New Jersey,8721.30
Connecticut,5543.33
Delaware,2489.27
Rhode Island,1545.05
District of Columbia,68.34
