PC,NAME,Lon,Lat
DC,District of Columbia,-77.01692,38.89078
AK,Alaska,-149.05656,63.08239
AL,Alabama,-86.68338,32.60661
AR,Arkansas,-92.12893,34.75712
AZ,Arizona,-111.93248,34.17163
CA,California,-119.25700,37.26842
CO,Colorado,-105.54781,38.99604
CT,Connecticut,-72.75720,41.52281
DE,Delaware,-75.41699,39.14561
FL,Florida,-81.68751,28.06163
GA,Georgia,-83.22671,32.67985
HI,Hawaii,-155.43683,19.59269
IA,Iowa,-93.39193,41.93699
ID,Idaho,-114.14093,45.49204
IL,Illinois,-89.51148,39.74655
IN,Indiana,-86.44417,39.77044
KS,Kansas,-98.32368,38.49518
KY,Kentucky,-85.76394,37.81914
LA,Louisiana,-91.42602,30.97712
MA,Massachusetts,-71.71267,42.06141
MD,Maryland,-76.74451,38.82523
ME,Maine,-69.02289,45.26101
MI,Michigan,-84.62436,43.74509
MN,Minnesota,-93.35500,46.43515
MO,Missouri,-92.43575,38.29989
MS,Mississippi,-89.86849,32.59474
MT,Montana,-110.05062,46.67912
NC,North Carolina,-79.88784,35.21638
ND,North Dakota,-100.30356,47.46736
NE,Nebraska,-99.68333,41.49784
NH,New Hampshire,-71.63407,43.99997
NJ,New Jersey,-74.37751,40.13828
NM,New Mexico,-106.02717,34.17184
NV,Nevada,-117.01664,38.50227
NY,New York,-75.81028,42.75633
OH,Ohio,-82.67375,40.19406
OK,Oklahoma,-98.71880,35.31003
OR,Oregon,-120.51327,44.13156
PA,Pennsylvania,-77.61161,40.99494
RI,Rhode Island,-71.50537,41.57887
SC,South Carolina,-80.94851,33.62318
SD,South Dakota,-100.25584,44.21638
TN,Tennessee,-85.97945,35.83453
TX,Texas,-100.07718,31.16937
UT,Utah,-111.54490,39.49720
VA,Virginia,-79.46565,37.99920
VT,Vermont,-72.47119,43.86954
WA,Washington,-120.84015,47.27291
WI,Wisconsin,-89.84694,44.78330
WV,West Virginia,-80.18361,38.92065
WY,Wyoming,-107.55226,42.99929
